año,decada,era,mes,id_tiempo
1986.0,1980.0,Retro,4.0,333
1995.0,1990.0,Clásica,4.0,334
2018.0,2010.0,Contemporánea,12.0,335
1994.0,1990.0,Clásica,8.0,336
1988.0,1980.0,Retro,7.0,337
1980.0,1980.0,Retro,1.0,338
1982.0,1980.0,Retro,6.0,339
2013.0,2010.0,Contemporánea,6.0,340
2010.0,2010.0,Moderna,12.0,341
2018.0,2010.0,Contemporánea,7.0,342
2018.0,2010.0,Contemporánea,5.0,343
1993.0,1990.0,Clásica,7.0,344
1978.0,1970.0,Retro,1.0,345
1992.0,1990.0,Clásica,10.0,346
2013.0,2010.0,Contemporánea,12.0,347
1985.0,1980.0,Retro,5.0,348
1994.0,1990.0,Clásica,4.0,349
1996.0,1990.0,Clásica,4.0,350
1985.0,1980.0,Retro,6.0,351
1993.0,1990.0,Clásica,4.0,352
1981.0,1980.0,Retro,3.0,353
1992.0,1990.0,Clásica,5.0,354
1991.0,1990.0,Clásica,11.0,355
1997.0,1990.0,Clásica,5.0,356
1994.0,1990.0,Clásica,7.0,357
1993.0,1990.0,Clásica,6.0,358
2018.0,2010.0,Contemporánea,4.0,359
1983.0,1980.0,Retro,8.0,360
1991.0,1990.0,Clásica,7.0,361
1991.0,1990.0,Clásica,4.0,362
1996.0,1990.0,Clásica,5.0,363
1979.0,1970.0,Retro,1.0,364
1987.0,1980.0,Retro,1.0,365
1983.0,1980.0,Retro,12.0,366
1992.0,1990.0,Clásica,4.0,367
1992.0,1990.0,Clásica,3.0,368
1980.0,1980.0,Retro,12.0,369
1977.0,1970.0,Retro,10.0,370
1987.0,1980.0,Retro,6.0,371
1980.0,1980.0,Retro,7.0,372
1991.0,1990.0,Clásica,9.0,373
2019.0,2010.0,Contemporánea,6.0,374
1994.0,1990.0,Clásica,5.0,375
1991.0,1990.0,Clásica,5.0,376
1995.0,1990.0,Clásica,8.0,377
1993.0,1990.0,Clásica,2.0,378
2019.0,2010.0,Contemporánea,7.0,379
2020.0,2020.0,Contemporánea,10.0,380
1995.0,1990.0,Clásica,7.0,381
2019.0,2010.0,Contemporánea,9.0,382
2020.0,2020.0,Contemporánea,2.0,383
2019.0,2010.0,Contemporánea,4.0,384
1989.0,1980.0,Retro,4.0,385
2020.0,2020.0,Contemporánea,4.0,386
1992.0,1990.0,Clásica,11.0,387
2019.0,2010.0,Contemporánea,1.0,388
2019.0,2010.0,Contemporánea,3.0,389
2020.0,2020.0,Contemporánea,8.0,390
2019.0,2010.0,Contemporánea,11.0,391
2019.0,2010.0,Contemporánea,12.0,392
2019.0,2010.0,Contemporánea,8.0,393
2019.0,2010.0,Contemporánea,5.0,394
1981.0,1980.0,Retro,10.0,395
2022.0,2020.0,Contemporánea,11.0,396
2020.0,2020.0,Contemporánea,6.0,397
1988.0,1980.0,Retro,10.0,398
1984.0,1980.0,Retro,10.0,399
2020.0,2020.0,Contemporánea,11.0,400
2020.0,2020.0,Contemporánea,1.0,401
1989.0,1980.0,Retro,12.0,402
2023.0,2020.0,Contemporánea,4.0,403
2021.0,2020.0,Contemporánea,2.0,404
2022.0,2020.0,Contemporánea,2.0,405
2020.0,2020.0,Contemporánea,3.0,406
2022.0,2020.0,Contemporánea,10.0,407
2021.0,2020.0,Contemporánea,6.0,408
2022.0,2020.0,Contemporánea,6.0,409
2021.0,2020.0,Contemporánea,7.0,410
2020.0,2020.0,Contemporánea,7.0,411
2020.0,2020.0,Contemporánea,9.0,412
1990.0,1990.0,Retro,6.0,413
1989.0,1980.0,Retro,8.0,414
1985.0,1980.0,Retro,1.0,415
1993.0,1990.0,Clásica,3.0,416
1990.0,1990.0,Retro,4.0,417
1983.0,1980.0,Retro,6.0,418
1990.0,1990.0,Retro,3.0,419
1989.0,1980.0,Retro,9.0,420
1990.0,1990.0,Retro,7.0,421
1984.0,1980.0,Retro,3.0,422
1988.0,1980.0,Retro,3.0,423
1991.0,1990.0,Clásica,8.0,424
1985.0,1980.0,Retro,9.0,425
1991.0,1990.0,Clásica,6.0,426
1991.0,1990.0,Clásica,10.0,427
1987.0,1980.0,Retro,10.0,428
1985.0,1980.0,Retro,12.0,429
1990.0,1990.0,Retro,11.0,430
1991.0,1990.0,Clásica,3.0,431
1992.0,1990.0,Clásica,8.0,432
1987.0,1980.0,Retro,7.0,433
1991.0,1990.0,Clásica,2.0,434
1983.0,1980.0,Retro,5.0,435
1990.0,1990.0,Retro,2.0,436
1993.0,1990.0,Clásica,5.0,437
1990.0,1990.0,Retro,8.0,438
1990.0,1990.0,Retro,9.0,439
1988.0,1980.0,Retro,6.0,440
1992.0,1990.0,Clásica,6.0,441
1986.0,1980.0,Retro,8.0,442
1987.0,1980.0,Retro,11.0,443
1988.0,1980.0,Retro,4.0,444
1988.0,1980.0,Retro,2.0,445
1989.0,1980.0,Retro,3.0,446
1987.0,1980.0,Retro,8.0,447
1987.0,1980.0,Retro,3.0,448
1982.0,1980.0,Retro,12.0,449
1983.0,1980.0,Retro,2.0,450
1983.0,1980.0,Retro,3.0,451
1986.0,1980.0,Retro,9.0,452
